endereco,bairro_cidade,preco,area,quartos,vagas
SQS 109," ASA SUL, BRASILIA",14.187074804051692,4.919980925828125,3.0,1.0
SHIS QI 29," LAGO SUL, BRASILIA",14.910784279814974,6.175867270105761,4.0,2.0
Rua 35," SUL, AGUAS CLARAS",13.864301674514206,4.6443908991413725,3.0,2.0
SMPW Quadra 17," PARK WAY, BRASILIA",15.315133827605429,6.1779441140506,4.0,3.0
SQNW 110," NOROESTE, BRASILIA",15.006398426692876,5.3706380281276624,4.0,4.0
SQNW 306," NOROESTE, BRASILIA",14.959733676355723,5.117993812416755,3.0,3.0
Rua Babaçu," SUL, AGUAS CLARAS",13.641158361294979,4.584967478670572,3.0,1.0
Area Especial 04 Lotes E F," GUARA II, GUARA",14.115615891155079,4.584967478670572,3.0,1.0
SHIN QL 15," LAGO NORTE, BRASILIA",15.18922639004183,6.556778356158042,5.0,2.0
Rua 16," NORTE, AGUAS CLARAS",13.629182184591333,5.0369526024136295,2.0,1.0
SQNW 306 Bloco H," NOROESTE, BRASILIA",15.118120003282673,5.375278407684165,4.0,5.0
Condomínio Vivendas Friburgo," GRANDE COLORADO, SOBRADINHO",14.144815024531075,5.886104031450156,3.0,2.0
Condomínio Jardim Europa II," GRANDE COLORADO, SOBRADINHO",13.384729180332174,5.262690188904886,3.0,1.0
QE 5," GUARA I, GUARA",12.899222326086994,3.5263605246161616,1.0,1.0
SQNW 106 Bloco F," NOROESTE, BRASILIA",15.319588176962746,5.6131281063880705,4.0,4.0
QE 32 Conjunto N," GUARA II, GUARA",14.220976332738882,5.5254529391317835,4.0,3.0
Cond Resid Sobradinho III Conjunto D," SETOR HABITACIONAL CONTAGEM, SOBRADINHO",13.527829818844937,5.442417710521793,3.0,2.0
Quadra 206," SUL, AGUAS CLARAS",13.465954500233115,4.382026634673881,2.0,2.0
Condomínio Vivendas Colorado II," GRANDE COLORADO, SOBRADINHO",13.90626583447433,6.324358962381311,3.0,2.0
SQN 212," ASA NORTE, BRASILIA",14.557448378884015,5.135798437050262,2.0,2.0
Condomínio Belvedere Green," JARDIM BOTANICO, BRASILIA",13.487007879880162,5.225746673713202,3.0,3.0
SQNW 309," NOROESTE, BRASILIA",14.978661680269907,5.420534999272286,3.0,3.0
SMAS Trecho 1 C," PARK SUL, BRASILIA",14.253766134056512,4.442651256490317,2.0,2.0
SGCV Lote 14," PARK SUL, BRASILIA",13.995329819961649,4.382026634673881,3.0,2.0
SMPW Quadra 17 Conjunto 13," PARK WAY, BRASILIA",14.975531788240602,5.902633333401366,4.0,2.0
SQSW 300 Bloco C," SUDOESTE, BRASILIA",14.397726736475999,4.795790545596741,3.0,2.0
Condomínio Quintas do Sol," JARDIM BOTANICO, BRASILIA",14.88022163978423,6.302618975744905,4.0,4.0
Condomínio Mini Chacáras do Lago Sul," JARDIM BOTANICO, BRASILIA",14.07710606547538,5.484796933490655,2.0,2.0
Agrícola Águas Claras Chacará 18," GUARA I, GUARA",14.45736497045232,6.2166061010848646,4.0,4.0
SQN 212," ASA NORTE, BRASILIA",14.034646891093473,4.394449154672439,2.0,1.0
CLNW 10/11," NOROESTE, BRASILIA",13.102162710901053,3.6635616461296463,1.0,2.0
SQS 109," ASA SUL, BRASILIA",14.626441218624949,5.003946305945459,4.0,1.0
Rua 36," NORTE, AGUAS CLARAS",13.291263603053904,4.31748811353631,3.0,2.0
SQN 112 Bloco F," ASA NORTE, BRASILIA",14.266586814266963,4.927253685157205,3.0,1.0
RODOVIA BR 0020 KM 12,"5, ALTO DA BOA VISTA, SOBRADINHO",14.144815024531075,5.420534999272286,4.0,2.0
SGCV Lote 1," PARK SUL, BRASILIA",14.343255243780712,4.653960350157523,3.0,2.0
Quadra 201," SUL, AGUAS CLARAS",14.23422155071698,5.3981627015177525,4.0,3.0
SMPW Quadra 15," PARK WAY, BRASILIA",15.176487367510099,6.329720905522696,4.0,4.0
Residencial 1 Quadra L," ALPHAVILLE BRASILIA, ALPHAVILLE",14.070153551531353,5.583496308781699,4.0,2.0
SHIN QI 2 Conjunto 3," LAGO NORTE, BRASILIA",14.805052123325165,6.311734809152915,6.0,6.0
SQNW 311," NOROESTE, BRASILIA",14.782494784382012,5.043425116919247,3.0,3.0
TAQUARI," LAGO NORTE, BRASILIA",15.067988057145726,6.175867270105761,4.0,2.0
Condomínio Vivendas Friburgo," GRANDE COLORADO, SOBRADINHO",13.805461232211272,5.648974238161206,3.0,2.0
CA 10," LAGO NORTE, BRASILIA",13.28787951079572,4.07753744390572,2.0,1.0
Quadra 7 Comércio Local 2," SOBRADINHO, SOBRADINHO",13.442998001373553,4.564348191467836,3.0,1.0
Rua 37," NORTE, AGUAS CLARAS",13.270785106659046,4.060443010546419,1.0,1.0
SQN 208 Bloco J," ASA NORTE, BRASILIA",14.503645699213111,4.859812404361672,4.0,2.0
SQS 313 Bloco I," ASA SUL, BRASILIA",14.375126917328105,4.787491742782046,3.0,1.0
CA 09," LAGO NORTE, BRASILIA",13.25339339419516,3.8501476017100584,1.0,1.0
CRNW 510," NOROESTE, BRASILIA",13.02805489573287,3.5263605246161616,1.0,1.0
SQSW 500 Bloco I," SUDOESTE, BRASILIA",15.080484666094252,5.153291594497779,4.0,3.0
SQN 116," ASA NORTE, BRASILIA",14.346139397261565,4.852030263919617,3.0,1.0
SQNW 302 Bloco D," NOROESTE, BRASILIA",14.207553321415745,4.276666119016055,2.0,2.0
SQS 216," ASA SUL, BRASILIA",14.731401609977073,5.093750200806762,3.0,1.0
SQN 211 Bloco F," ASA NORTE, BRASILIA",14.279245203127035,4.663439094112067,3.0,1.0
Rua 28," NORTE, AGUAS CLARAS",14.077875591662238,5.236441962829949,3.0,3.0
SQNW 106," NOROESTE, BRASILIA",14.392124484065864,4.709530201312334,3.0,2.0
Rua 6," VICENTE PIRES, VICENTE PIRES",13.989464705423494,5.3981627015177525,4.0,2.0
SHIS QI 5," LAGO SUL, BRASILIA",14.81614280591917,5.993961427306569,4.0,2.0
SQNW 311 Bloco H," NOROESTE, BRASILIA",14.873301199334291,5.313205979041787,2.0,2.0
Condomínio Quintas do Sol," JARDIM BOTANICO, BRASILIA",13.910821646859095,5.69035945432406,4.0,2.0
Rua 36," NORTE, AGUAS CLARAS",13.171155446333852,4.174387269895637,2.0,1.0
QN 214," SAMAMBAIA NORTE, SAMAMBAIA",12.765691290604371,3.828641396489095,2.0,1.0
SMPW Quadra 13 Conjunto 5," PARK WAY, BRASILIA",15.123843647884687,6.364750756851911,5.0,3.0
Vivendas Bela Vista," GRANDE COLORADO, SOBRADINHO",14.6888942063636,5.771441123130016,3.0,2.0
Condomínio Ouro Vermelho I," JARDIM BOTANICO, BRASILIA",14.711598990684092,6.269096283706261,4.0,4.0
QI 27 Lote 3," GUARA II, GUARA",13.845070331079134,4.477336814478207,3.0,2.0
Quadra 205," SUL, AGUAS CLARAS",15.394489469099211,6.082218910376446,5.0,4.0
Rua 36," SUL, AGUAS CLARAS",13.70903942580019,4.672828834461906,4.0,1.0
Condomínio Prive I Quadra 1," LAGO NORTE, BRASILIA",14.64406281221155,5.942799375126701,3.0,2.0
SQSW 105 Bloco F," SUDOESTE, BRASILIA",14.07710606547538,4.553876891600541,3.0,1.0
SHIN QI 5," LAGO NORTE, BRASILIA",15.007917029408835,6.300785794663244,5.0,4.0
